English,Chinese,Status,Notes
""" style=""color:#00AE42; text-decoration:underline;"">Helio Additive Privacy Agreement</a> and <a href=""",,⚠ Needs Translation,
""" style=""color:#00AE42; text-decoration:underline;"">Helio Additive User Agreement</a> for detailed information.<br><br>",,⚠ Needs Translation,
""" style=""color:#00AE42; text-decoration:underline;"">Helio Additive</a> and refer to the <a href=""",,⚠ Needs Translation,
""" style=""color:#00AE42; text-decoration:underline;"">Helio Additive</a>'s cloud service in this software will be developed, operated, provided, and maintained by <a href=""",,⚠ Needs Translation,
""" style=""color:#00AE42; text-decoration:underline;"">Helio Additive</a>'s services, and Bambu Lab makes no express or implied warranties of any kind, nor can it control the service effects. To the fullest extent permitted by applicable law, Bambu Lab or its licensors/affiliates do not provide any express or implied representations or warranties, including but not limited to warranties regarding merchantability, satisfactory quality, fitness for a particular purpose, accuracy, confidentiality, and non-infringement of third-party rights. Due to the nature of network services, Bambu Lab cannot guarantee that the service will be available at all times, and Bambu Lab reserves the right to terminate the service based on relevant circumstances. You agree not to use this product and its related updates to engage in the following activities:<br><br>",,⚠ Needs Translation,
""" style=""color:#00AE42; text-decoration:underline;"">Helio Additive</a>. Helio Additive is responsible for the effectiveness and availability of this service. The optimization feature of this service may modify the default print commands, posing a risk of printer damage. These features will collect necessary user information and data to achieve relevant service functions. Subscriptions and payments may be involved. Please visit <a href=""",,⚠ Needs Translation,
--use-firmware-retraction is not compatible with --wipe,,⚠ Needs Translation,
1. Copy or use any part of this product outside the authorized scope of Helio Additive and Bambu Lab;<br>,,⚠ Needs Translation,
"2. Attempt to disrupt, bypass, alter, invalidate, or evade any Digital Rights Management system related to and/or an integral part of this product;<br>",,⚠ Needs Translation,
3. Using this software and services for any improper or illegal activities.<br><br>,,⚠ Needs Translation,
Export &Toolpaths as OBJ,,⚠ Needs Translation,
"Following objects are too far ( distance >= %1% in ) from the original of the world coordinate system:
",,⚠ Needs Translation,
"Following objects are too far ( distance >= %1% mm ) from the original of the world coordinate system:
",,⚠ Needs Translation,
No wiki link available for this printer.,,⚠ Needs Translation,
Save current style,,⚠ Needs Translation,
Save the parameters of the current text tool as a style for easy subsequent use.,,⚠ Needs Translation,
The current style has been modified but not saved. Do you want to save it?,,⚠ Needs Translation,
There are spaces or illegal characters present.,,⚠ Needs Translation,
"This service is provided and hosted by a third party, Helio Additive. All data collection and processing activities are solely managed by Helio Additive, and Bambu Lab assumes no responsibility in this regard. By clicking ""Agree and Proceed"", you agree to Helio Additive's privacy policy.",,⚠ Needs Translation,
"Unless otherwise specified, Bambu Lab only provides support for the software features officially provided. The slicing evaluation and slicing optimization features based on <a href=""",,⚠ Needs Translation,
View wiki,,⚠ Needs Translation,
"Warning:Due to functional upgrade, rotation information cannot be restored. Please drag or modify text,save it and reedit it will ok.",,⚠ Needs Translation,
^,,⚠ Needs Translation,
wiki,,⚠ Needs Translation,
"

Note: Unsupported materials will use the selected reference material for simulation.","

注意：不支持的材料将使用选定的参考材料进行仿真。",✓ Translated,
"
Do you want to save the modified values?","
您是否想保存修改后的值？",✓ Translated,
%1% contains some unsupported data. Please use third-party software to convert the SVG to path data before reimporting.,%1%中存在部分暂不支持的数据，请使用第三方软件转换该SVG为路径数据后重新导入。,✓ Translated,
%1% infill pattern doesn't support 100%% density.,%1% 填充图案不支持 100%% 密度。,✓ Translated,
%s is not compatible with %s,%s 与 %s 不兼容,✓ Translated,
(Path to modify: 'Process'-'Others'-'Special Mode'-'Timelapsed'),（修改路径：“工艺”-”其他“-”特殊模式“-”延时摄影“）,✓ Translated,
*Fair usage terms apply - click to learn more,*适用公平使用条款 - 点击了解更多,✓ Translated,
1. Please confirm Bambu Studio and your printer are in the same LAN.,1. 请确认Bambu Studio和您的打印机在同一个局域网内。,✓ Translated,
"2. If the IP and Access Code below are different from the actual values on your printer, please correct them.",2. 如果下面的IP和Access Code与您的打印机上的实际值不同，请更正。,✓ Translated,
3. Please obtain the device SN from the printer side; it is usually found in the device information on the printer screen.,3. 请从打印机端获取设备序列号，它通常位于打印机屏幕上的设备信息中。,✓ Translated,
A G-code path goes beyond the boundary of plate.,检测超出热床边界的G-code路径。,✓ Translated,
A G-code path goes beyond the max print height.,检测出超出打印高度的G-code路径。,✓ Translated,
A Helio simulation or optimization task is in progress.,Helio 仿真或优化任务正在进行中。,✓ Translated,
"A new Network plug-in(%s) available, Do you want to install it?",新的网络插件(%s) 可用，您是否需要安装它？,✓ Translated,
Access Code,访问码,✓ Translated,
Account Status,账户状态,✓ Translated,
Activate your free trial to unlock premium enhancements,激活免费试用以解锁高级增强功能,✓ Translated,
Activation Successful,激活成功,✓ Translated,
Activation Successful!,激活成功！,✓ Translated,
"Add an object to the build plate, select a material and printer that Helio supports, then slice.

Supported printers: https://wiki.helioadditive.com/en/supportedprinters","将对象添加到打印平台，选择 Helio 支持的材料和打印机，然后切片。

支持的打印机：https://wiki.helioadditive.com/en/supportedprinters",✓ Translated,
Add-ons:,附加配额：,✓ Translated,
Additional observations:,其他观察：,✓ Translated,
Adjust the line width of the selected skeleton paths.,为选择的骨架走线设置线宽,✓ Translated,
Adjust the line width of the selected skin paths.,调整选择的表皮走线的线宽,✓ Translated,
Advanced,高级,✓ Translated,
"After slicing, click the Helio button to analyze your print.",切片后，点击 Helio 按钮分析您的打印。,✓ Translated,
Agree and Proceed,同意并继续,✓ Translated,
Air filtration enhancement,支持空气过滤增强,✓ Translated,
An important update was detected and needs to be run before printing can continue. Do you want to update now? You can also update later from 'Upgrade firmware'.,检测到重要更新，需要升级后才可进行打印。您想现在就开始升级吗？您也可以稍后点击‘升级固件’完成升级。,✓ Translated,
Analysis:,分析：,✓ Translated,
"Angle for sparse infill pattern, which controls the start or main direction of line",稀疏填充图案的角度，决定走线的开始或整体方向。,✓ Translated,
Applies Helio's optimized speed/flow/fan strategy.,应用 Helio 优化的速度/流量/风扇策略。,✓ Translated,
Applies only when first activated,仅在首次激活时适用,✓ Translated,
Are you sure you want to uninstall Helio Additive? This will disable all Helio features.,您确定要卸载 Helio Additive 吗？这将禁用所有 Helio 功能。,✓ Translated,
Assess,评估,✓ Translated,
"Assessment will only take a few minutes to complete, depending on the size of your object. (A lot of compute is happening in the background) (Formerly referred to as 'Simulate' or 'Simulation')","评估只需几分钟即可完成，具体取决于对象的大小。（后台正在进行大量计算）（原称为""仿真""或""模拟""）",✓ Translated,
"Auto Flow Rate Calibration utilizes Bambu Lab's Micro-Lidar technology, directly measuring the calibration patterns. However, please be advised that the efficacy and accuracy of this method may be compromised with specific types of materials. Particularly, filaments that are transparent or semi-transparent, sparkling-particled, or have a high-reflective finish may not be suitable for this calibration and can produce less-than-desirable results.

The calibration results may vary between each calibration or filament. We are still improving the accuracy and compatibility of this calibration through firmware updates over time.

Caution: Flow Rate Calibration is an advanced process, to be attempted only by those who fully understand its purpose and implications. Incorrect usage can lead to sub-par prints or printer damage. Please make sure to carefully read and understand the process before doing it.","自动流量比例校准采用Bambu Lab的微型激光雷达技术，直接测量校准图案。然而，请注意，这种方法的功效和准确性可能会因特定类型的材料而受影响。特别是透明或半透明、带有闪光颗粒或具有高反射表面的材料可能不适合这种校准，并可能产生不理想的结果。

校准结果可能因每次校准或材料的不同而有所不同。我们仍在通过固件更新不断提高这种校准的准确性和兼容性。

注意：流量比例校准是一项高级的过程，只有完全理解其目的和影响的人才应尝试。错误的使用可能导致打印质量不佳或损坏打印机。请确保在执行之前仔细阅读和理解此过程。",✓ Translated,
